DATE,PRODUCT_ID,PRODUCT_BRAND,PACK_SIZE,UNIT_PRICE,SALES_QTY,SALES_VALUE,Year,Month,Day,Dayofweek,Weekofyear,Dayofyear,Is_weekend,lag_qty_1,lag_qty_2,lag_qty_3,lag_qty_7,lag_qty_14,lag_qty_30,lag_qty_60,lag_value_1,lag_value_2,lag_value_3,lag_value_7,lag_value_14,lag_value_30,lag_value_60,rolling_mean_3,rolling_std_3,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,Product_Sale_Count,Days_Since_Last_Sale,Avg_Days_Between_Sales,Month_sin,Month_cos,Dayofweek_sin,Dayofweek_cos,Next_Purchase_Volume,Predicted_Next_Purchase_Volume,Model_RMSE
2024-12-01,ANCHOR BLUE MILK_2000 ML,ANCHOR BLUE MILK,2000 ML,5.5,10,65,2024,12,1,6,48,336,True,15.0,17.0,34.0,14.0,16.0,14.0,20.0,86.0,105.0,207.0,92.0,105.0,92.0,130.0,22.0,10.440306508910401,17.142857142857142,8.254868693253618,29.285714285714285,23.32522098643296,293,1.0,1.0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,35.0,18.215448,16.7845516204834
2024-09-06,PEPSI_250 ML,PEPSI,250 ML,2.0,2,3,2024,9,6,4,36,250,False,2.0,2.0,2.0,3.0,9.0,40.0,9.0,3.0,3.0,3.0,6.0,18.0,60.0,18.0,2.0,0.0,5.571428571428571,6.02376246923275,5.428571428571429,4.602913554130134,112,1.0,1.4,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,2.0,8.336055,6.336054801940918
2024-07-16,DOVE BODY WASH_1000 ML,DOVE BODY WASH,1000 ML,12.0,87,954,2024,7,16,1,29,198,False,59.0,66.0,37.0,52.0,35.0,76.0,65.0,666.0,702.0,414.0,533.0,324.0,846.0,702.0,54.0,15.132745950422736,68.42857142857143,28.50062655952881,60.857142857142854,32.8138271578802,196,1.0,1.0,-0.4999999999999998,-0.8660254037844388,0.7818314824680298,0.6234898018587336,58.0,66.31665,8.316650390625
2024-06-03,DOVE BODY WASH_1000 ML,DOVE BODY WASH,1000 ML,12.0,26,288,2024,6,3,0,23,155,False,28.0,103.0,119.0,16.0,59.0,14.0,61.0,288.0,1152.0,1350.0,180.0,684.0,166.0,711.0,83.33333333333333,48.583261863870064,75.0,39.272551907577096,75.85714285714286,28.84669596560154,153,1.0,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,88.0,55.72703,32.27296829223633
2024-03-22,DASANI WATER_300 ML,DASANI WATER,300 ML,2.0,9,19,2024,3,22,4,12,82,False,13.0,12.0,12.0,9.0,13.0,19.0,12.0,24.0,25.0,25.0,20.0,24.0,36.0,24.0,12.333333333333334,0.577350269222896,11.0,2.0000000000016964,11.142857142857142,2.0326997151207538,70,1.0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,10.0,13.273713,3.2737131118774414
2024-04-02,KELLOGS CORN FLAKES_500 G,KELLOGS CORN FLAKES,500 G,5.5,72,389,2024,4,2,1,14,93,False,65.0,94.0,88.0,55.0,20.0,51.0,52.0,363.0,520.0,481.0,305.0,130.0,285.0,303.0,82.33333333333333,15.307950004275444,78.14285714285714,14.299517141364927,79.42857142857143,23.37886713618544,84,2.0,1.2,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,12.0,56.46545,44.465450286865234
2024-12-16,MOUNTAIN DEW_300 ML,MOUNTAIN DEW,300 ML,2.3,2,6,2024,12,16,0,51,351,False,3.0,2.0,2.0,2.0,1.0,2.0,14.0,9.0,6.0,6.0,6.0,3.0,6.0,34.0,2.3333333333333335,0.5773502692511809,2.0,0.5773502692072588,1.9285714285714286,0.4746311465305061,285,1.0,1.0,-2.4492935982947064e-16,1.0,0.0,1.0,2.0,7.796301,5.796300888061523
2024-08-11,KELLOGS CORN FLAKES_500 G,KELLOGS CORN FLAKES,500 G,5.5,9,59,2024,8,11,6,32,224,True,31.0,4.0,10.0,7.0,26.0,42.0,44.0,184.0,23.0,58.0,40.0,163.0,249.0,262.0,15.0,14.177446878760694,14.857142857142858,9.839183086493874,32.5,28.313492298793374,210,1.0,1.0,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,32.0,19.032978,12.967021942138672
2024-07-19,DOVE BODY WASH_500 ML,DOVE BODY WASH,500 ML,8.0,24,197,2024,7,19,4,29,201,False,27.0,27.0,27.0,40.0,9.0,26.0,21.0,216.0,215.0,216.0,317.0,72.0,219.0,173.0,27.0,0.0,31.0,6.855654600402589,28.785714285714285,14.26226096774515,151,1.0,1.2,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,2.0,30.516218,28.516218185424805
2024-08-14,DASANI WATER_250 ML,DASANI WATER,250 ML,1.7,43,83,2024,8,14,2,33,227,False,77.0,16.0,35.0,16.0,45.0,18.0,66.0,137.0,32.0,60.0,32.0,85.0,36.0,123.0,42.666666666666664,31.214312956292442,24.571428571428573,25.058978050838107,37.357142857142854,28.955156689285687,218,1.0,1.0,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,36.0,33.147614,2.852386474609375
2024-05-17,MOUNTAIN DEW_300 ML,MOUNTAIN DEW,300 ML,2.3,2,6,2024,5,17,4,20,138,False,3.0,3.0,3.0,2.0,2.0,4.0,2.0,9.0,9.0,9.0,6.0,6.0,12.0,6.0,3.0,0.0,2.7142857142857144,0.4879500364950961,2.4285714285714284,0.5135525909956471,91,1.0,1.2,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,4.0,7.758636,3.758635997772217
2024-07-16,DASANI WATER_1000 ML,DASANI WATER,1000 ML,2.5,13,28,2024,7,16,1,29,198,False,18.0,6.0,32.0,8.0,4.0,2.0,2.0,36.0,12.0,64.0,16.0,8.0,4.0,4.0,18.666666666666668,13.01281419729525,15.142857142857142,9.370673604897652,13.857142857142858,8.16989918831616,147,1.0,1.0,-0.4999999999999998,-0.8660254037844388,0.7818314824680298,0.6234898018587336,8.0,15.700075,7.700075149536133
2024-11-28,FANTA_1000 ML,FANTA,1000 ML,3.5,4,10,2024,11,28,3,48,333,False,4.0,2.0,2.0,17.0,15.0,12.0,4.0,10.0,5.0,5.0,59.0,54.0,36.0,10.0,2.6666666666666665,1.1547005384038183,9.285714285714286,10.625665245282278,11.928571428571429,8.739514910972114,135,1.0,1.0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,6.0,8.983422,2.98342227935791
2024-08-19,SPRITE_500 ML,SPRITE,500 ML,2.8,2,7,2024,8,19,0,34,232,False,14.0,4.0,8.0,7.0,2.0,5.0,2.0,49.0,14.0,28.0,20.0,7.0,13.0,7.0,8.666666666666666,5.03322295685531,9.857142857142858,4.259443290252918,7.642857142857143,4.749204676040943,67,2.0,1.2,-0.8660254037844384,-0.5000000000000004,0.0,1.0,12.0,11.1058235,0.8941764831542969
2024-12-01,MOUNTAIN DEW_250 ML,MOUNTAIN DEW,250 ML,2.0,22,55,2024,12,1,6,48,336,True,6.0,20.0,10.0,20.0,20.0,10.0,19.0,15.0,50.0,25.0,50.0,48.0,25.0,48.0,12.0,7.211102550932784,18.285714285714285,8.654753717164924,25.071428571428573,18.12547839459558,279,2.0,1.4,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,6.0,15.597964,9.5979642868042
2024-08-05,ANCHOR BLUE MILK_1000 ML,ANCHOR BLUE MILK,1000 ML,3.0,2,5,2024,8,5,0,32,218,False,24.0,12.0,9.0,2.0,8.0,8.0,6.0,60.0,33.0,24.0,5.0,23.0,23.0,15.0,15.0,7.93725393319378,8.571428571428571,7.612646120264675,7.071428571428571,6.044250742066147,122,2.0,1.4,-0.8660254037844384,-0.5000000000000004,0.0,1.0,2.0,12.136427,10.13642692565918
2024-11-25,FANTA_2250 ML,FANTA,2250 ML,4.5,9,41,2024,11,25,0,48,330,False,14.0,18.0,9.0,15.0,27.0,9.0,18.0,61.0,82.0,41.0,69.0,123.0,41.0,82.0,13.666666666666666,4.509249752829037,13.142857142857142,3.33809184159051,16.428571428571427,6.5482150910842885,68,1.0,1.0,-0.5000000000000004,0.8660254037844384,0.0,1.0,9.0,15.115188,6.115187644958496
2024-06-16,MOUNTAIN DEW_250 ML,MOUNTAIN DEW,250 ML,2.0,2,5,2024,6,16,6,24,168,True,13.0,5.0,2.0,12.0,4.0,2.0,26.0,32.0,12.0,5.0,30.0,10.0,5.0,52.0,6.666666666666667,5.68624070308351,7.142857142857143,4.4131837120394675,7.642857142857143,4.199031808863779,125,1.0,1.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,6.0,9.453695,3.453695297241211
2024-03-21,DASANI WATER_250 ML,DASANI WATER,250 ML,1.7,28,52,2024,3,21,3,12,81,False,44.0,32.0,18.0,34.0,63.0,42.0,44.0,74.0,54.0,34.0,61.0,103.0,70.0,77.0,31.333333333333332,13.012814197296603,36.0,10.472185381603355,40.357142857142854,13.223563716435352,73,1.0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,43.0,31.25618,11.743820190429688
2024-06-19,MOUNTAIN DEW_750 ML,MOUNTAIN DEW,750 ML,3.5,13,49,2024,6,19,2,25,171,False,8.0,6.0,10.0,4.0,19.0,8.0,8.0,32.0,24.0,40.0,16.0,76.0,26.0,32.0,8.0,2.0000000000168625,8.714285714285714,5.85133277451506,11.857142857142858,6.3228175664023185,155,1.0,1.0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,17.0,13.257564,3.742436408996582
2024-11-01,DASANI WATER_2250 ML,DASANI WATER,2250 ML,4.0,4,16,2024,11,1,4,44,306,False,9.0,42.0,48.0,25.0,82.0,9.0,2.0,36.0,168.0,192.0,100.0,328.0,36.0,7.0,33.0,20.999999999999964,32.857142857142854,19.07379154257283,34.714285714285715,31.328111169531848,162,2.0,2.0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,25.0,28.65256,3.652559280395508
2024-12-17,FANTA_200 ML,FANTA,200 ML,1.7,6,12,2024,12,17,1,51,352,False,2.0,2.0,24.0,4.0,8.0,6.0,14.0,4.0,4.0,40.0,8.0,16.0,12.0,28.0,9.333333333333334,12.701705922173964,5.428571428571429,8.223080178320489,4.857142857142857,5.855400437689713,148,1.0,2.0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,4.0,10.180684,6.1806840896606445
2024-10-16,SPRITE_2250 ML,SPRITE,2250 ML,4.5,15,68,2024,10,16,2,42,290,False,55.0,2.0,9.0,35.0,72.0,9.0,9.0,263.0,10.0,41.0,164.0,330.0,41.0,41.0,22.0,28.792360097777216,22.571428571428573,17.821869924872296,23.357142857142858,20.284921049341232,107,1.0,1.0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,36.0,21.640053,14.359947204589844
2024-11-07,SPRITE_1000 ML,SPRITE,1000 ML,3.5,44,156,2024,11,7,3,45,312,False,29.0,5.0,3.0,2.0,11.0,14.0,4.0,100.0,18.0,11.0,5.0,35.0,41.0,10.0,12.333333333333334,14.468356276142943,8.857142857142858,9.822229404580856,10.571428571428571,11.978919212286593,203,1.0,1.0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,24.0,29.604641,5.604640960693359
2024-04-05,DOVE BODY WASH_100 ML,DOVE BODY WASH,100 ML,3.5,10,30,2024,4,5,4,14,96,False,26.0,26.0,10.0,28.0,74.0,20.0,24.0,88.0,88.0,30.0,90.0,262.0,60.0,82.0,20.666666666666668,9.237604307035765,22.285714285714285,6.2640318675836335,24.357142857142858,15.88229368659453,81,1.0,1.2,0.8660254037844387,-0.49999999999999983,-0.433883739117558,-0.9009688679024191,38.0,18.632473,19.36752700805664
2024-08-03,SPRITE_1000 ML,SPRITE,1000 ML,3.5,18,45,2024,8,3,5,31,216,True,6.0,12.0,12.0,4.0,14.0,4.0,8.0,15.0,36.0,36.0,10.0,47.0,10.0,26.0,10.0,3.4641016151480297,8.428571428571429,3.5523298860142685,6.357142857142857,4.395927185948197,136,1.0,1.0,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,2.0,13.160084,11.160083770751953
2024-08-02,DOVE BODY WASH_1000 ML,DOVE BODY WASH,1000 ML,12.0,58,630,2024,8,2,4,31,215,False,51.0,49.0,54.0,139.0,26.0,125.0,26.0,540.0,531.0,576.0,1440.0,288.0,1404.0,288.0,51.333333333333336,2.5166114784305793,59.142857142857146,37.627244435508835,79.28571428571429,40.17926861421959,213,1.0,1.0,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,66.0,57.92677,8.073230743408203
2024-08-20,MOUNTAIN DEW_200 ML,MOUNTAIN DEW,200 ML,1.7,6,12,2024,8,20,1,34,233,False,4.0,13.0,24.0,16.0,22.0,15.0,6.0,8.0,24.0,44.0,28.0,44.0,28.0,12.0,13.666666666666666,10.0166528008812,13.714285714285714,12.065298528069984,10.214285714285714,10.146455018898507,177,1.0,1.0,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,25.0,11.544497,13.455503463745117
2024-12-19,PEPSI_250 ML,PEPSI,250 ML,2.0,9,18,2024,12,19,3,51,354,False,15.0,12.0,17.0,14.0,9.0,137.0,47.0,30.0,24.0,34.0,27.0,18.0,275.0,93.0,14.666666666666666,2.516611478437623,15.714285714285714,9.638711630958936,19.928571428571427,12.269187708766673,205,1.0,1.2,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,15.0,15.250881,0.2508811950683594
2024-09-12,DASANI WATER_1000 ML,DASANI WATER,1000 ML,2.5,14,31,2024,9,12,3,37,256,False,4.0,5.0,5.0,5.0,9.0,10.0,6.0,8.0,11.0,11.0,11.0,23.0,23.0,12.0,4.666666666666667,0.5773502691842252,4.571428571428571,0.7867957924702615,6.428571428571429,3.274946522505379,203,1.0,1.2,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,11.0,11.540316,0.5403156280517578
2024-12-10,KELLOGS CORN FLAKES_500 G,KELLOGS CORN FLAKES,500 G,5.5,44,256,2024,12,10,1,50,345,False,16.0,60.0,60.0,2.0,6.0,86.0,52.0,92.0,343.0,344.0,13.0,35.0,504.0,289.0,45.333333333333336,25.403411844344777,35.714285714285715,22.845234993424242,33.92857142857143,19.02413158116728,328,1.0,1.0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,20.0,40.219383,20.219383239746094
